date,id,location,trt2,trt,tot,shortnose_gar,emerald_shiner,sand_shiner,river_shiner,spotfin_shiner,bluegill_juv,green_sunfish,fathead_minnow,largemouth_juv,orange_spotted_sunfish,yoy,smallmouth_buffalo,crappie
6/30/2017,2,Below,Exclusion,exc,4,,,,,,3,,1,,,,,
6/30/2017,3,Below,Exclusion,exc,6,,,,,,,,,,,5,1,
6/30/2017,5,Above,Exclusion,exc,4,,,,,,,,4,,,,,
6/30/2017,6,Above,Exclusion,exc,3,,,,,2,,,1,,,,,
6/30/2017,7,Below,Exclusion,exc,7,,,,,1,1,,,,,5,,
6/30/2017,9,Above,Exclusion,exc,2,,,,,2,,,,,,,,
6/30/2017,1,Above,Exclusion,exc,0,,,,,,,,,,,,,
6/30/2017,2,Above,Cage Control,ctrl,0,,,,,,,,,,,,,
6/30/2017,3,Above,Exclusion,exc,0,,,,,,,,,,,,,
6/30/2017,4,Above,Ambient,ctrl,0,,,,,,,,,,,,,
6/30/2017,7,Above,Ambient,ctrl,0,,,,,,,,,,,,,
6/30/2017,8,Above,Cage Control,ctrl,0,,,,,,,,,,,,,
6/30/2017,10,Above,Ambient,ctrl,0,,,,,,,,,,,,,
6/30/2017,1,Below,Ambient,ctrl,0,,,,,,,,,,,,,
6/30/2017,4,Below,Ambient,ctrl,0,,,,,,,,,,,,,
6/30/2017,5,Below,Exclusion,exc,0,,,,,,,,,,,,,
6/30/2017,6,Below,Ambient,ctrl,0,,,,,,,,,,,,,
6/30/2017,8,Below,Ambient,ctrl,0,,,,,,,,,,,,,
6/30/2017,9,Below,Cage Control,ctrl,0,,,,,,,,,,,,,
6/30/2017,10,Below,Ambient,ctrl,0,,,,,,,,,,,,,
